Prompt Cards,Set
The wedding was perfect... until ________ ruined everything.,Cads About Matrimony: Expansion 1
The Westboro Baptist Church is now picketing soldiers' funerals with signs that read 'GOD HATES ______!',Reject Pack
The whole 2016 election was really a battle between _____ and ______.,Conspiracy Theory - Kickstarter Bonus Cards Pack
The word “husband” comes from the Latin word for ___________.,Cads About Matrimony
The word “husband” comes from the Latin word for ___________.,Cads About Matrimony Poly Pack
The World Health Organization has issued a warning about ______.,WTF Did You Say?!?
The world is going to end when _________ falls on the earth and _________ will be everywhere.,Humanity Hates Trump: Base Set
The World would be a better place if we had more _____.,Pigs Against Profanity: Volume 3
The world would be a better place is ______ and ______ happened.,Cakes Athirst Hilarity Volume 2
The worldwide conspiracy to leave NZ off of maps is a direct result of ______.,Kiwis Against Morality
The worlwide conspiracy to leave NZ off of maps is a direct result of ______.,Kiwis Versus Morality
The worst birthday gift I ever received was ______,Cards About Toronto
The worst blind date I ever went on invovled ______ and ended with ______,Cards About Toronto
The worst day ever always includes _________.,Not Parent Approved
The worst night of my life was the night I spent with ______.,Rotten Apples: The Tasteless Adult Party Game
the worst pickup line I've ever heard in a bar was ______,That's What She Said Game
The worst thing about growing up in Aotearoa is definitely ______'s ______.,Kiwis Against Morality
The worst thing about the US military is __________.,Charlie Foxtrot
The worst thing in my Google search history is ______,Cards About Toronto
The worst thing to wake up to on a Saturday morning is ______.,Cards Against Profanity
The worst tihing about growing up in Aotearoa is definitely ______'s ______.,Kiwis Versus Morality
The yellow brick road actually leads to _____.,Cows Against Hamburgers - Patty Pack #1
The yellow brick road actually leads to _____.,Cows Grilling Hamburgers - Patty Pack #1
The Youth Minister has a tattoo of ______.,The Catholic Card Game: Base Deck
Their first fight as a married couple was about __________.,Cads About Matrimony
Their first fight as a married couple was about __________.,Cads About Matrimony Poly Pack
"Then the princess kissed the frog, and all of a sudden the frog was ______!",CAH: Green Box Expansion
There are _________ everywhere. And yet they do not contribute to the growth of their own countries.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
"There are many porn versions of Moby-Dick, but the latest one is called ""Moby-Dick: ______.""",Dick
"There are only 3 thing`s women need in life;food, water and _________",Pigs Against Profanity: Volume 2
There are only two things better than running a train on Chief's daughter: ______ and ______.,Disgruntled Decks: Navy Edition
There are times I think I would kill for _____.,Rotten Apples: The Tasteless Adult Party Game
There are two things I hate. Racism and _____.,"Guards Against Insanity, Edition 1"
"There are two types of people in the world. People who are ______, and people who aren't.",Clones Attack Hilarity #1
There are two types of people in this world.  ______ and ______.,"Guards Against Insanity, Edition 2"
"There is a new axis of evil: _________, _________, and _________.","Bad Campaign, The Presidential Party Game!"
There is a new smartphone app to help with ______.,KinderPerfect (Commercial Set)
There is a place in France where the naked ladies dance. There is a hole in the wall where the men can see ______.,Kids Against Maturity
There is a secret room in the White House devoted to _________.,"Bad Campaign, The Presidential Party Game!"
"There is a small, remote town in Europe where ______ is totally normal.",Not Parent Approved Expansion Pack #2
There is abundant scientific evidence that for some people vaccination might lead to ______ later in life.,Cats Abiding Horribly: Episode I - The Dirty Goblin
There is no God. It’s just ______ and then you die.,CAH: Green Box Expansion
There is no way I'm going near the Perry Projects. I might run into ______.,Blurbs Against Buffalo
There is nothing I wouldn't do for 30 minutes alone with ______.,Babies vs. Parents
There is nothing worse than seeing ______ in the light of day.,Cards for the Masses
There is only one way to handle this ISIS situation _____.,Cows Against Hamburgers - Patty Pack #1
There is only one way to handle this ISIS situation _____.,Cows Grilling Hamburgers - Patty Pack #1
There was a lot of ____ during my first threesome.,Dirty Nasty Filthy
there was a recall on Barbie when she was accidentally programmed to say ______,That's What She Said Game - First Expansion
There was a riot at the Gearbox panel when they gave the attendees ______.,PAX Prime 2013
There was way too much ____ during my first time for me to handle.,Dirty Nasty Filthy
There will be ______ in eternity.,The Catholic Card Game: Base Deck
There would be no more world conflict if we all learned to ______.,Potheads Against Sanity
There'll be _________ at my frenemy's backyard BBQ.,Not Parent Approved
There's a convention for ______? Sign me up!,"Crows Adopt Vulgarity, Vol. 4"
There's a new ______ in town.,Kids Create Absurdity
There's a new anime about four magical high school students and their adventures with ______.,Crabs Adjust Humidity: Volume 4
There's a new Fetlife group for fans of ______ at fetlife.com/______.,Carbs of the Huge Manatee - Kink Expansion 1
There's a new wedding app you can use for ________.,Cads About Matrimony Poly Pack
There's a new wedding app you can use for ________.,Cads About Matrimony: Expansion 1
"There's a pot of gold at the end of every rainbow, but what's at the end of Cumberland Falls' moonbow?",Cols Against Kentucky 2
There's a theory that Shakespeare was actually ______.,Bards Dispense Profanity
There's a very fine line between _____ and ______.,Rotten Apples: The Tasteless Adult Party Game
There's always money in ______.,"Guards Against Insanity, Edition 2"
There's been a murder and ______ is the only suspect.,Evil Apples
There's currently an online auction to buy the world's largest collection of ______.,The Game Without Decency
There's just nothing like ______ first thing in the morning.,Evil Apples
There's just something about ______ that always puts a smile on my face.,Evil Apples
There's no argument. The most lethal thing on the battlefield is ______ in the hands of a Marine.,Disgruntled Decks: Marine Corps/Jarhead Edition
There's no gold in Fort Knox! It's full of ______.,Conspiracy Theory
There's nothing more mysterious than _____.,Clones Attack Hilarity #2
There's nothing more romantic than ________.,WTF Did You Say?!?
"There's nothing that can't be fixed with duct-tape, number 8 wire & ______.",Kiwis Against Morality
There's nothing that can’t be cured by ______.,Rotten Apples: The Tasteless Adult Party Game
"There's nothing that money can't buy, except _________.""",Humanity Hates Trump: Expansion Pack 1
"There's nothing to worry about, the doctor said, ""it's just a simple, routine check for ______.""",Crabs Adjust Humidity: Volume 7
There’s more concrete proof that____ exists than the Holocaust.,Cards With No Sexuality
There’s nothing more romantic than ____________.,Cads About Matrimony
There’s nothing more romantic than ____________.,Cads About Matrimony Poly Pack
"These days the kids are calling it ""______.""",Bards Dispense Profanity
"These days the kids are calling it ""______.""",Dick
These days you can just throw together a banjo and some lyrics about ______ and you've got a perfectly good country song.,Evil Apples
"these days you say ______ ONE time and suddenly you're an HR ""problem""",That's What She Said Game - Second Expansion
"These days, naughty kids find ______ in their stocking instead of coal.",The Game Without Decency
These don't belong in government.,Humanity Hates Trump: Base Set
"They finally released the long-lost book ""Harry Potter and the Tomb of ______""",The Game Without Decency
"They Grow up so fast. One minute they`re crawling around trying to say their first words, the next minute they`re ________.",Pigs Against Profanity: Volume 3
They kill us. I beat _________(s) all the time. All the time.,Humanity Hates Trump: Expansion Pack 1
"They laughed at me for ______. Well, now look at me.",Cads Against Adulting
"They may take our lives, but they will never take our _____.",Cows Against Hamburgers - Patty Pack #1
"They may take our lives, but they will never take our _____.",Cows Grilling Hamburgers - Patty Pack #1
"They may take our lives, but they will never take our _____.","Guards Against Insanity, Edition 1"
They never would have legalized marijuana in California without ______.,The Worst Card Game: 2016 National Edition
They opened up a Disney called ______.,Kids Create Absurdity
