Response Cards,Set
Tap dancing like there's no tomorrow,Cards Against Profanity
Tap dancing like there's no tomorrow.,CAH Base Set
Tape.,Babies vs. Parents
Tappin' dat ass.,"Guards Against Insanity, Edition 2"
Tapping Serra Angel.,Geek Pack
Tapping Serra Angel.,PAX Prime 2013
Tar.,Absurd Box Expansion
Targeted meteor strikes,Conspiracy Theory
Taro Tsujimoto.,Blurbs Against Buffalo
Tartar Sauce,Personally Incorrect - Expansion [Red Box]
Taste dried spit,Cards for the Masses
Tasteful sideboob.,CAH Base Set
Tasteful sideboob.,Cards Against/For South Africa
Tasteful sideboob.,Hilarious!
Tasting your wife's boob milk.,Cards With No Sexuality
Tasty Butt Squirts,Personally Incorrect - Expansion 2 [Yellow Box]
"Tasty, tasty cheese.",Carbs of the Huge Manatee: General Expansion 1
Tater Tots®.,Not Parent Approved
Tattletales,Kids Create Absurdity
Tattoo a green cross on my forehead.,Potheads Against Sanity
Tattoo policies created by rétards.,Disgruntled Decks: Marine Corps/Jarhead Edition
Tattoo regulations created by limp dick staff officers.,Disgruntled Decks: Navy Edition
Tattooing a rank to your body.,Charlie Foxtrot
Tattooing BADASS across your baby bump,Cads About Maternity - A game for bad mommies
Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu,Kiwis Against Morality
Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu,Kiwis Versus Morality
Taunting disabled people.,Trumped UpCards: The World's Biggest Deck*
"Tax ""reform""",Conspiracy Theory
tax evasion,Evil Apples
Tax resisters,Conspiracy Theory
Tax seminars.,"Bad Campaign, The Presidential Party Game!"
Taxi,Dirty Nasty Filthy
Taxing that ass like the IRS.,Cows Against Hamburgers - Patty Pack #1
Taxing that ass like the IRS.,Cows Grilling Hamburgers - Patty Pack #1
Taylor Swift,Kids Against Maturity
Taylor Swift,The Game Without Decency
Taylor Swift music.,WTF Did You Say?!?
Taylor Swift trying to remember which boyfriend took her virginity.,Cards With No Sexuality
Taylor Swift.,Not Parent Approved
Taylor Swift's sloppy seconds.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
Tea bagging a co-worker.,WTF Did You Say?!?
Tea bagging.,Clones Attack Hilarity #1
Tea breaks,JadedAid: A Card Game to Save Humanitarians
Teabagging,Personally Incorrect
Teacher cleavage,KinderPerfect: Naughty Expansion Pack
Teacher crush,Kids Against Maturity
Teachers in holiday-themed sweaters.,Not Parent Approved
Teachers pet,Kids Create Absurdity
Teachers who obviously hate kids.,Not Parent Approved
Teaching a Baby Boomer to internet.,Cads Against Adulting
Teaching a child how to hock a loogie,KinderPerfect (Commercial Set)
Teaching a child the anatomy of reproductive organs through scratch and sniff.,Pigs Against Profanity: Volume 3
Teaching a girl how to handjob the penis.,CAH: Blue Box Expansion
Teaching a girl how to handjob the penis.,CAH: Sixth Expansion
Teaching a politician how to tell the truth.,Hilarious!
Teaching a robot to love.,CAH Base Set
Teaching a woman the meaning of the word respect.,"Guards Against Insanity, Edition 5"
Teaching ESL classes using the lost art of miming.,WTF Did You Say?!?
Teaching Grandma about technology,Cards Against Profanity
Teaching my son to love the Red Sox and hate minorities.,Cards Against Humanity Saves America Pack
Teaching old people to use computers.,Clones Attack Hilarity #2
Teaching Soldiers how to drive a boat.,Disgruntled Decks: Coast Guard/Coastie Edition
Teaching the kids how to flick boogers,KinderPerfect (Commercial Set)
Teaching them how to properly stab their best friend in the back,KinderPerfect: Tween Expansion Pack
Team building activities that overwhelm you with embarrassment.,Disgruntled Decks: Air Force Edition
Team building activities.,Cards Against/For South Africa
Team building exercises at a nudist colony.,Hilarious!
Team building exercises.,CAH Base Set
Team-building exercises.,CAH Base Set
Tearing that ass up like wrapping paper on Christmas morning.,CAH Base Set
Tearing the mask off nature and staring at the face of God.,"Guards Against Insanity, Edition 2"
Tears of deported immigrants.,Humanity Hates Trump: Expansion Pack 1
Teaser,Dirty Nasty Filthy
Teasing your sister with just the tip.,"Guards Against Insanity, Edition 4"
Teasing zoo animals.,"Crows Adopt Vulgarity, Vol. 4"
Ted Bundy,Personally Incorrect
Ted Cruz as America's designated driver., 2016 Election Game 
Ted Cruz Crazy.,Carbs of the Huge Manatee: General Expansion 2
Ted Cruz dressed in indigenous Canadian garb.,Trumped UpCards: The World's Biggest Deck*
"Ted Cruz or Tom Cruise, whichever",Conspiracy Theory
Ted Cruz reading Green Eggs and Ham on the Senate floor., 2016 Election Game 
Ted Cruz's bong pipe.,"Bad Campaign, The Presidential Party Game!"
Ted Cruz's booger.,Humanity Hates Trump: Base Set
Ted Cruz's favorite Internet porn.,Trumped UpCards: Many Sides  Expansion Pack
"Ted Cruz's heavy, sexual breathing.",Carps & Angsty Manatee - Texas Edition
Ted Cruz's tightly clenched anus.,Humanity Hates Trump: Base Set
"Ted Cruz's warm, trustworthy smile.",Cads Against Adulting
"Ted Nugent's cold, dead hands.",Crabs Adjust Humidity: Volume 2
teen dads,Evil Apples
Teen Wolf.,"Bad Campaign, The Presidential Party Game!"
Teenage arrogance.,WTF Did You Say?!?
Teenage pregnancy.,CAH Base Set
Teenage pregnancy.,Cards Against/For South Africa
Teenage pregnancy.,Fun in the Oven
Teenage pregnancy.,Hilarious!
Teenagers recording themselves singing,Cards Against Profanity
Teenagers with multimillion dollar recording contracts.,WTF Did You Say?!?
Teeny tiny teddies,Rotten Apples: The Tasteless Adult Party Game
Teepeeing the Veep's house.,"Bad Campaign, The Presidential Party Game!"
Teething.,Babies vs. Parents
Telephone psychics,Conspiracy Theory
Televangelists.,The Catholic Card Game: Generations Expansion Pack
"Tell someone that ""Around the corner, fudge is made.""",Potheads Against Sanity
Tellig personal Jesus stories.,The Catholic Card Game: Base Deck
Telling 9/11 jokes to the families of 9/11 victims.,Voter's Choice: The Second Expansion
Telling a shitty story that goes nowhere.,CAH Base Set
Telling daddy jokes in a pub.,Hilarious!
Telling donors the truth,JadedAid: Peace Corps Expansion Pack
"Telling friends I'm ""working on a screenplay"".",Cads Against Adulting
Telling Heather she can't pull off that top.,Pride Pack
Telling holocaust jokes at a bar mitzvah,Pigs Against Profanity: Volume 1
Telling Jack she'll never let go and then letting go anyways like a total bitch. There was room on that f*@king door for the both of,Cows Grilling Hamburgers - Patty Pack #1
Telling Jack she'll never let go and then letting go anyways like a total bitch. There was room on that f*@king door for the both of you Rose. For the both of you.,Cows Against Hamburgers - Patty Pack #1
Telling kids that the Tootsie Rolls® are actually processed reindeer crap.,Humanity Hates The Holidays
Telling my kids everything is spicy so I don't have to share,KinderPerfect: More Expansion Pack
"Telling our child that ""fist"" can be a verb.","Crows Adopt Vulgarity, Vol. 4"
"Telling people the baby's first word was ""mom"" when it was really ""muh"".",Fun in the Oven
Telling Putin dirty jokes.,"Bad Campaign, The Presidential Party Game!"
Telling small children the truth about the Easter bunny.,Cakes Athirst Hilarity Volume 2
Telling the same fart joke over and over.,"Bad Campaign, The Presidential Party Game!"
Telling your friends you're not a virgin,Depravity
"Telling your parents you two met at church, not on CollarSpace.com.*",Carbs of the Huge Manatee - Online Dating Expansion 1
Tellytubbies.,Cards Against/For South Africa
Tellytubbies.,Hilarious!
Temper tantrums.,Fun in the Oven
Temporary detention for anyone who correctly pronounces Oaxaca.,Trumped UpCards: The World's Biggest Deck*
Temporary invincibility.,PAX Prime 2013
Ten fingers and ten toes… whew!,Fun in the Oven
Ten Infantryman watching porn on a single laptop screen.,Disgruntled Decks: Army Edition
Ten points for Gryffindor!,Crabs Adjust Humidity: Volume 6
ten thousand dollars,Bards Dispense Profanity
ten thousand men that fishes gnawed upon,Bards Dispense Profanity
ten-foot-tall radioactive rats,Evil Apples
Tender anal love.,CAH: Ass Pack
Tender chunks of all-white-meat chicken.,CAH: Green Box Expansion
"tennis balls, my liege",Bards Dispense Profanity
"Tens, Tens, Tens, Twenties on my Twitties.","Humanity Hates the Holidays ""Love"" Edition"
Tentacle Porn,Personally Incorrect
Tentacle porn.,CAH Base Set
Tentacle Porn.,Cards Against/For South Africa
Tentacle porn.,Hilarious!
Tentatively slipping a finger into your partner's asshole.,"Guards Against Insanity, Edition 1"
Tequila,Rotten Apples: The Tasteless Adult Party Game
Tequila shits,"Clams Attempt Harmonica, Volume 1"
Tequila shooters.,"Bad Campaign, The Presidential Party Game!"
Tequila Shots at an AA Meeting,Personally Incorrect - Expansion 2 [Yellow Box]
Tequila shots before the PTA meeting,KinderPerfect (Commercial Set)
Tequila-flavoured man-juice.,Hilarious!
Terabytes of porn.,"Crows Adopt Vulgarity, Vol. 1"
Terminal diarrhea.,Clones Attack Hilarity #2
Terminating your service due to pregnancy,JadedAid: Peace Corps Expansion Pack
Terri Schiavo., 2016 Election Game 
Terrible balance,Cards Against Profanity
Terrible Catholic podcasts.,The Catholic Card Game: Five Deck Expansion Pack
Terrible kids TV shows.,Fun in the Oven
Terrible life decisions.,Hilarious!
terrible spelling,Skewered And Roasted
Terrorists,Conspiracy Theory
Terrorists,Rotten Apples: The Tasteless Adult Party Game
Terrorists.,CAH Base Set
Terrorists.,Hilarious!
Terry Fox's prosthetic leg.,CAH Base Set
Terry Fox's prosthetic leg.,CAH: Canadian Conversion Kit
Test driving a used sex toy.,WTF Did You Say?!?
Test my stuffed animals for STDs.,Potheads Against Sanity
Testicles,Dirty Nasty Filthy
Testicular torsion.,CAH Base Set
Testicular torsion.,Cards Against/For South Africa
Testicular torsion.,Hilarious!
Testify that I am a spoon.,Potheads Against Sanity
Testing Miss Syria's no-fly-zone.,Trumped UpCards: The World's Biggest Deck*
Testosterone,Personally Incorrect
Testosterone-induced rage.,Cads About Matrimony
Testosterone-induced rage.,Cads About Matrimony Poly Pack
Testosterone.,WTF Did You Say?!?
Tetweeting Mussolini.,Trumped UpCards: The World's Biggest Deck*
Texans.,Carps & Angsty Manatee - Texas Edition
Texas,Conspiracy Theory
Texas Pride.,Carps & Angsty Manatee - Texas Edition
Texas seceding., 2016 Election Game 
Texas.,CAH: Blue Box Expansion
Texas.,CAH: Sixth Expansion
"Texting ""lol"" to express self-consciousness.",Cads Against Adulting
Texting instead of talking.,Cads About Matrimony
Texting instead of talking.,Cads About Matrimony Poly Pack
Texting my best friend all day.,Not Parent Approved
Texting while driving.,Cakes Athirst Hilarity Volume 1
Texting your best friend,Kids Create Absurdity
Thai lady boys,Cards About Toronto
Thai lady boys.,Cakes Athirst Hilarity Volume 3
Thai or Chinese?,Skewered And Roasted
thank you for coming,That's What She Said Game
Thank you notes.,Babies vs. Parents
Thanks Obama.,WTF Did You Say?!?
"Thanks, Obama!","Crows Adopt Vulgarity, Vol. 3"
Thanksgiving coming out party.,Humanity Hates Trump: Base Set
Thanksgiving with Al Sharpton.,Humanity Hates Trump: Base Set
"That ""not-so-fresh"" feeling.",Crabs Adjust Humidity: Volume 1
"That ""O"" face.","Crows Adopt Vulgarity, Vol. 1"
That ass.,CAH : Third Expansion
That ass.,CAH Base Set
That ass.,CAH: Red Box Expansion
"That awkward family who thinks it's ""cybersex Monday.""",Humanity Hates The Holidays
That awkward moment when you realize your three-way has no vagina.,"Crows Adopt Vulgarity, Vol. 1"
"That awkward moment when you realize, not only is your fly down but, your dick is hanging out.",Clones Attack Hilarity #2
That awkward present that vibrates in the box.,Humanity Hates The Holidays
That Band-Aid I found in my burger.,"Bad Campaign, The Presidential Party Game!"
"That bitch, Stacy.",CAH: Green Box Expansion
That black guy that always dies first in the movies.,"Crows Adopt Vulgarity, Vol. 1"
That boring friend who stalks you everyday.,Not Parent Approved Expansion Pack #2
That bridesmaid that won't stop crying.,Cads About Matrimony
That bridesmaid that won't stop crying.,Cads About Matrimony Poly Pack
That chick I was really into in high school that now has two kids and a waistline the size of Idaho.,"Crows Adopt Vulgarity, Vol. 1"
That chicken from Popeyes. ®,CAH: Green Box Expansion
That crackhead photographer.,Cads About Matrimony Poly Pack
That crackhead photographer.,Cads About Matrimony: Expansion 1
That crappy ribbon candy your grandma always had,The Game Without Decency
That crazy Baldwin brother.,Cats Abiding Horribly: Episode II - A New Low
That creep in accounting.,"Bad Campaign, The Presidential Party Game!"
That crusty sock,KinderPerfect (Commercial Set)
That cute Congressman.,"Bad Campaign, The Presidential Party Game!"
That damn Apple™ agreement.,Humanity Hates Trump: Expansion Pack 1
That damn Total Recall remake.,Carbs of the Huge Manatee: General Expansion 2
that definitely won't fit,That's What She Said Game
That dirty weekend in Cabo.,Cads About Matrimony
That dirty weekend in Cabo.,Cads About Matrimony Poly Pack
That douchebag who ALWAYS steps on your rack while climbing up to theirs.,Disgruntled Decks: Navy Edition
That dream where I am at school naked,Kids Against Maturity
that drug-damned Italy,Bards Dispense Profanity
That dumbass who parks in the drop off lane,KinderPerfect: More Expansion Pack
that eyeless head of thine,Bards Dispense Profanity
That f**king Elf on a Shelf,KinderPerfect (Commercial Set)
That f**king Elf on a Shelf,KinderPerfect: A Timeout For Parents (Kickstarter Set)
That fantasy.,Carbs of the Huge Manatee - Kink Expansion 1
That feeling when you're swimming in cold water and your kibbles and bits touch the water for the first time.,Words Against Morality: Volume 1
"that fine old Dutch savage, Albert Durer",Dick
That first gray pubic hair,KinderPerfect (Commercial Set)
That first gray pubic hair,KinderPerfect: A Timeout For Parents (Kickstarter Set)
"That floating plastic bag from American Beauty, but full of diarrhea.",The Worst Card Game: 2016 National Edition
"That friend who can't sing, but doesn't know it.",Not Parent Approved
That friend who never shut up about Crossfit.,Clones Attack Hilarity #2
that frothy mixture of lube and fecal matter that is sometimes the byproduct of anal sex,Evil Apples
